tag,p0,p1,diff,abs_diff
equipment,0.29751976605653635,0.4915254237288136,-0.19400565767227723,0.19400565767227723
dietary,0.7125527997400628,0.8305084745762712,-0.11795567483620839,0.11795567483620839
oven,0.13202642694682118,0.23598435462842243,-0.10395792768160125,0.10395792768160125
meat,0.23231885627639987,0.31421121251629724,-0.08189235623989738,0.08189235623989738
occasion,0.48597422289613346,0.5645371577574967,-0.07856293486136323,0.07856293486136323
stove-top,0.09357738546517926,0.16427640156453716,-0.0706990160993579,0.0706990160993579
taste-mood,0.225387198093794,0.2894393741851369,-0.06405217609134287,0.06405217609134287
north-american,0.20556698797790535,0.2685788787483703,-0.06301189077046493,0.06301189077046493
main-dish,0.30423480992093577,0.3650586701434159,-0.06082386022248015,0.06082386022248015
low-in-something,0.36055453265460846,0.41851368970013036,-0.0579591570455219,0.0579591570455219
cuisine,0.3819993501570454,0.4380704041720991,-0.05607105401505369,0.05607105401505369
comfort-food,0.11101483808079714,0.16688396349413298,-0.05586912541333584,0.05586912541333584
low-carb,0.18033141990685583,0.23076923076923078,-0.05043781086237495,0.05043781086237495
american,0.1295353622874472,0.17861799217731422,-0.04908262988986703,0.04908262988986703
to-go,0.07505686125852919,0.12385919165580182,-0.048802330397272636,0.048802330397272636
kid-friendly,0.1113397595581068,0.1590612777053455,-0.04772151814723871,0.04772151814723871
number-of-servings,0.2429329578685151,0.2894393741851369,-0.04650641631662178,0.04650641631662178
main-ingredient,0.7397378966749703,0.7848761408083442,-0.04513824413337397,0.04513824413337397
inexpensive,0.1393913137658399,0.18122555410691005,-0.04183424034107014,0.04183424034107014
holiday-event,0.14469836456189755,0.18513689700130379,-0.04043853243940623,0.04043853243940623
chicken,0.0861041914870573,0.12516297262059975,-0.039058781133542456,0.039058781133542456
pork,0.05101267193761508,0.08865710560625815,-0.037644433668643076,0.037644433668643076
3-steps-or-less,0.1703671612693599,0.13298565840938723,0.03738150285997269,0.03738150285997269
side-dishes,0.12325354705946064,0.16036505867014342,-0.03711151161068278,0.03711151161068278
beginner-cook,0.15227986569912272,0.18904823989569752,-0.036768374196574805,0.036768374196574805
easy,0.5330878371060327,0.5697522816166884,-0.03666444451065576,0.03666444451065576
desserts,0.18596339218022312,0.15123859191655803,0.03472480026366509,0.03472480026366509
high-protein,0.02945954727607495,0.06388526727509779,-0.03442571999902284,0.03442571999902284
